año,mes,temp,precip,provincia
2016,1,14.422580645161291,194.4,CANAR
2016,2,13.906896551724138,215.8,CANAR
2016,3,14.087096774193547,267.8,CANAR
2016,4,13.803333333333335,183.6,CANAR
2016,5,12.951612903225806,157.0,CANAR
2016,6,11.379999999999999,220.4,CANAR
2016,7,11.04516129032258,68.1,CANAR
2016,8,11.448387096774193,64.3,CANAR
2016,9,12.55,50.300000000000004,CANAR
2016,10,13.332258064516129,171.2,CANAR
2016,11,13.933333333333334,168.0,CANAR
2016,12,13.293548387096775,266.9,CANAR
2017,1,14.174193548387096,157.0,CANAR
2017,2,14.471428571428572,161.9,CANAR
2017,3,14.606451612903227,210.3,CANAR
2017,4,14.726666666666667,180.5,CANAR
2017,5,14.587096774193547,124.7,CANAR
2017,6,14.096666666666666,112.2,CANAR
2017,7,12.983870967741936,81.3,CANAR
2017,8,13.793548387096775,69.2,CANAR
2017,9,14.22,73.4,CANAR
2017,10,14.490322580645161,176.0,CANAR
2017,11,14.7,110.2,CANAR
2017,12,14.745161290322581,137.20000000000002,CANAR
2018,1,14.23225806451613,138.3,CANAR
2018,2,14.917857142857143,123.0,CANAR
2018,3,14.993548387096775,109.2,CANAR
2018,4,13.94,98.9,CANAR
2018,5,14.096774193548388,213.6,CANAR
2018,6,13.58,101.4,CANAR
2018,7,13.441935483870967,71.6,CANAR
2018,8,13.380645161290323,61.2,CANAR
2018,9,13.866666666666667,75.7,CANAR
2018,10,14.95483870967742,74.1,CANAR
2018,11,15.116666666666667,179.5,CANAR
2018,12,14.290322580645162,86.7,CANAR
2019,1,14.548387096774194,170.7,CANAR
2019,2,15.110714285714286,140.4,CANAR
2019,3,15.212903225806452,140.3,CANAR
2019,4,14.906666666666666,117.0,CANAR
2019,5,14.529032258064515,119.9,CANAR
2019,6,13.893333333333334,127.0,CANAR
2019,7,13.229032258064517,102.3,CANAR
2019,8,13.380645161290323,74.3,CANAR
2019,9,14.216666666666667,85.80000000000001,CANAR
2019,10,14.17741935483871,156.7,CANAR
2019,11,14.83,102.8,CANAR
2019,12,15.251612903225807,145.1,CANAR
2020,1,15.04516129032258,122.3,CANAR
2020,2,15.379310344827585,91.2,CANAR
2020,3,15.196774193548388,139.3,CANAR
2020,4,14.75,223.5,CANAR
2020,5,14.87741935483871,195.6,CANAR
2020,6,13.946666666666665,139.7,CANAR
2020,7,13.406451612903227,96.6,CANAR
2020,8,13.716129032258063,72.9,CANAR
2020,9,13.743333333333334,87.7,CANAR
2020,10,13.838709677419354,76.7,CANAR
2020,11,14.596666666666666,110.5,CANAR
2020,12,14.558064516129033,158.4,CANAR
2021,1,14.229032258064517,137.8,CANAR
2021,2,14.764285714285714,108.4,CANAR
2021,3,14.209677419354838,140.2,CANAR
2021,4,14.346666666666666,140.3,CANAR
2021,5,14.225806451612904,169.79999999999998,CANAR
2021,6,13.79,124.2,CANAR
2021,7,13.025806451612903,100.3,CANAR
2021,8,13.30967741935484,62.6,CANAR
2021,9,13.756666666666666,76.39999999999999,CANAR
2021,10,14.432258064516128,208.0,CANAR
2021,11,14.066666666666666,186.7,CANAR
2021,12,14.85483870967742,218.2,CANAR
2022,1,14.270967741935483,152.9,CANAR
2022,2,14.367857142857144,198.5,CANAR
2022,3,14.270967741935483,315.3,CANAR
2022,4,14.163333333333332,180.6,CANAR
2022,5,14.016129032258064,200.7,CANAR
2022,6,13.053333333333335,143.0,CANAR
2022,7,13.370967741935484,137.4,CANAR
2022,8,13.264516129032257,86.0,CANAR
2022,9,13.879999999999999,62.4,CANAR
2022,10,14.19032258064516,99.10000000000001,CANAR
2022,11,14.106666666666666,64.0,CANAR
2022,12,14.55483870967742,87.8,CANAR
2023,1,13.83548387096774,162.0,CANAR
2023,2,14.646428571428572,139.5,CANAR
2023,3,14.206451612903225,175.7,CANAR
2023,4,14.233333333333333,225.0,CANAR
2023,5,14.903225806451612,130.7,CANAR
2023,6,13.979999999999999,83.1,CANAR
2023,7,13.751612903225807,84.0,CANAR
2023,8,13.758064516129032,75.8,CANAR
2023,9,15.136666666666667,15.6,CANAR
