producto_raw,precio_anterior,precio_actual,variacion,boletin_num,mes,año,quincena,quincena_id,provincia,categoria,estado_precio
Avena Hojuelas (Saco aprox. 50 lb),23.97,22.84,-5.0,191,1,2021,1,2021-01-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),33.89,32.67,-4.0,149,4,2019,1,2019-04-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),45.0,46.67,4.0,272,8,2024,1,2024-08-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),44.5,45.0,1.0,276,10,2024,1,2024-10-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.75,34.67,0.0,211,11,2021,1,2021-11-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),35.0,35.0,0.0,219,3,2022,1,2022-03-Q1,AZUAY,no_perecedero,completo
Azicar Blanca (Saco aprox. 50 Kg),44.58,44.67,0.0,238,1,2023,1,2023-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.93,23.67,-1.0,197,4,2021,1,2021-04-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),35.92,36.17,1.0,223,5,2022,1,2022-05-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),17.0,16.67,-2.0,147,3,2019,1,2019-03-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),16.67,17.33,4.0,143,1,2019,1,2019-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.22,23.0,-1.0,221,4,2022,1,2022-04-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),36.17,35.67,-1.0,181,8,2020,1,2020-08-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),45.08,47.67,6.0,227,7,2022,1,2022-07-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),46.0,44.33,-4.0,274,9,2024,1,2024-09-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50Kg),36.17,33.84,-6.0,145,2,2019,1,2019-02-Q1,AZUAY,no_perecedero,completo
Azicar Blanca (Saco aprox. 50Kg),35.67,34.5,-3.0,168,1,2020,2,2020-01-Q2,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.59,23.67,0.0,199,5,2021,1,2021-05-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.67,23.67,0.0,215,1,2022,1,2022-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.8,24.17,2.0,185,10,2020,1,2020-10-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.67,23.56,0.0,217,2,2022,1,2022-02-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),47.67,47.33,-1.0,248,6,2023,1,2023-06-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),49.75,50.33,1.0,240,2,2023,1,2023-02-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),33.17,31.67,-5.0,165,12,2019,1,2019-12-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.67,34.67,0.0,209,10,2021,1,2021-10-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),57.83,55.64,-4.0,252,8,2023,1,2023-08-Q1,AZUAY,no_perecedero,completo
+++ Yuca (Funda aprox. 90 lb),15.0,17.47,16.0,265,3,2024,1,2024-03-Q1,PICHINCHA,perecedero,completo
Azicar Blanca (Saco aprox. 50 Kg),41.17,45.0,9.0,231,9,2022,1,2022-09-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),59.83,62.33,4.0,268,6,2024,1,2024-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),15.34,14.83,-3.0,153,6,2019,1,2019-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),16.4,16.34,0.0,157,8,2019,1,2019-08-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),18.3,18.0,-2.0,173,4,2020,1,2020-04-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),58.88,60.0,2.0,256,10,2023,1,2023-10-Q1,AZUAY,no_perecedero,completo
Azicar Blanca (Saco aprox. 50Kg),35.0,35.0,0.0,153,6,2019,1,2019-06-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.67,34.67,0.0,199,5,2021,1,2021-05-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),45.0,45.0,0.0,244,4,2023,1,2023-04-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.67,24.0,1.0,262,1,2024,1,2024-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),25.5,22.0,-14.0,274,9,2024,1,2024-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),45.33,45.17,0.0,258,11,2023,1,2023-11-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),45.25,46.67,3.0,265,4,2024,1,2024-04-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,,231,9,2022,1,2022-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),47.17,48.0,2.0,227,7,2022,1,2022-07-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20Kg),17.0,17.0,0.0,155,7,2019,1,2019-07-Q1,AZUAY,no_perecedero,completo
Azicar Blanca (Saco aprox. 50Kg),36.33,36.33,0.0,143,1,2019,1,2019-01-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),17.0,17.0,0.0,181,8,2020,1,2020-08-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50kg),34.25,37.0,8.0,147,3,2019,1,2019-03-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),17.0,17.0,0.0,193,2,2021,1,2021-02-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,238,1,2023,1,2023-01-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,205,8,2021,1,2021-08-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),44.83,45.0,0.0,268,6,2024,1,2024-06-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),35.58,35.22,-1.0,183,9,2020,1,2020-09-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),35.34,35.0,-1.0,217,2,2022,1,2022-02-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,235,11,2022,1,2022-11-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,207,9,2021,1,2021-09-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),25.42,24.67,-3.0,240,2,2023,1,2023-02-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50Kg),35.0,35.5,1.0,171,3,2020,1,2020-03-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.0,24.0,0.0,248,6,2023,1,2023-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.0,24.0,0.0,246,5,2023,1,2023-05-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,236,12,2022,1,2022-12-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),35.45,35.67,1.0,221,4,2022,1,2022-04-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),36.25,36.0,-1.0,175,5,2020,1,2020-05-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),36.47,36.67,1.0,179,7,2020,1,2020-07-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),46.5,46.89,1.0,252,8,2023,1,2023-08-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),46.53,47.84,3.0,254,9,2023,1,2023-09-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),35.27,35.67,1.0,185,10,2020,1,2020-10-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),46.67,45.84,-2.0,256,10,2023,1,2023-10-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.92,34.92,0.0,215,1,2022,1,2022-01-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20Kg),16.0,15.5,-3.0,145,2,2019,1,2019-02-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),16.5,16.8,2.0,161,10,2019,1,2019-10-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20Kg),17.0,17.0,0.0,168,1,2020,2,2020-01-Q2,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.4,22.67,-3.0,278,11,2024,1,2024-11-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.0,24.0,0.0,250,7,2023,1,2023-07-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,201,6,2021,1,2021-06-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,211,11,2021,1,2021-11-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),21.87,24.67,13.0,272,8,2024,1,2024-08-Q1,AZUAY,no_perecedero,completo
Azuicar Blanca (Saco aprox. 50Kg),35.13,35.0,0.0,151,5,2019,1,2019-05-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 5olb),16.67,15.33,-8.0,149,4,2019,1,2019-04-Q1,AZUAY,no_perecedero,completo
Zanahoria Amarilla (Saco aprox. 90 lb),13.29,12.13,-9.0,265,3,2024,1,2024-03-Q1,PICHINCHA,perecedero,completo
Azuicar Blanca (Saco aprox. 50 Kg),35.0,35.0,0.0,159,9,2019,1,2019-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),45.17,45.0,0.0,270,7,2024,1,2024-07-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),22.67,24.0,6.0,276,10,2024,1,2024-10-Q1,AZUAY,no_perecedero,completo
Azucar Blanca (Saco aprox. 50 Kg),34.67,34.5,0.0,191,1,2021,1,2021-01-Q1,AZUAY,no_perecedero,completo
Fideo Lazo Chico (Paca aprox. 20 Kg),18.92,18.92,0.0,225,6,2022,1,2022-06-Q1,AZUAY,no_perecedero,completo
