producto,provincia,periodo,precio_actual,precio_t1,precio_t2,variacion_t2_t1,promedio_movil_2q,promedio_movil_3q,volatilidad_3q,momentum,año,mes,quincena,variacion_real,comportamiento,categoria,producto_encoded,provincia_encoded,categoria_perecedero
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-07-Q1,54.0,54.0,54.0,0.0,54.0,50.0,6.9282,0.2857,2022,7,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-07-Q2,53.25,54.0,54.0,0.0,54.0,54.0,0.0,0.0,2022,7,2,-1.39,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-08-Q1,53.25,53.25,54.0,-1.39,53.625,53.75,0.433,-0.0139,2022,8,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-08-Q2,53.25,53.25,53.25,0.0,53.25,53.5,0.433,-0.0139,2022,8,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-09-Q1,53.25,53.25,53.25,0.0,53.25,53.25,0.0,0.0,2022,9,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-09-Q2,52.76,53.25,53.25,0.0,53.25,53.25,0.0,0.0,2022,9,2,-0.92,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-10-Q1,51.3,52.76,53.25,-0.92,53.005,53.0867,0.2829,-0.0092,2022,10,1,-2.77,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-10-Q2,51.3,51.3,52.76,-2.77,52.03,52.4367,1.0144,-0.0366,2022,10,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-11-Q1,51.3,51.3,51.3,0.0,51.3,51.7867,0.8429,-0.0277,2022,11,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-11-Q2,51.3,51.3,51.3,0.0,51.3,51.3,0.0,0.0,2022,11,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-12-Q1,51.3,51.3,51.3,0.0,51.3,51.3,0.0,0.0,2022,12,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2022-12-Q2,51.3,51.3,51.3,0.0,51.3,51.3,0.0,0.0,2022,12,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-01-Q1,51.3,51.3,51.3,0.0,51.3,51.3,0.0,0.0,2023,1,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-01-Q2,48.79,51.3,51.3,0.0,51.3,51.3,0.0,0.0,2023,1,2,-4.89,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-02-Q1,48.79,48.79,51.3,-4.89,50.045,50.4633,1.4491,-0.0489,2023,2,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-02-Q2,41.25,48.79,48.79,0.0,48.79,49.6267,1.4491,-0.0489,2023,2,2,-15.45,Caída,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-03-Q1,41.25,41.25,48.79,-15.45,45.02,46.2767,4.3532,-0.1545,2023,3,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-03-Q2,41.25,41.25,41.25,0.0,41.25,43.7633,4.3532,-0.1545,2023,3,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-04-Q1,41.25,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,4,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-04-Q2,41.25,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,4,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-05-Q1,41.25,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,5,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-05-Q2,41.25,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,5,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-06-Q1,41.25,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,6,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-06-Q2,40.69,41.25,41.25,0.0,41.25,41.25,0.0,0.0,2023,6,2,-1.36,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-07-Q1,40.69,40.69,41.25,-1.36,40.97,41.0633,0.3233,-0.0136,2023,7,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-07-Q2,39.0,40.69,40.69,0.0,40.69,40.8767,0.3233,-0.0136,2023,7,2,-4.15,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-08-Q1,39.0,39.0,40.69,-4.15,39.845,40.1267,0.9757,-0.0415,2023,8,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-08-Q2,39.0,39.0,39.0,0.0,39.0,39.5633,0.9757,-0.0415,2023,8,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-09-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,9,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-09-Q2,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,9,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-10-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,10,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-10-Q2,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,10,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-11-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,11,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-11-Q2,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,11,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-12-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,12,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2023-12-Q2,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2023,12,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-01-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2024,1,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-01-Q2,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2024,1,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-02-Q1,39.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2024,2,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-03-Q1,36.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,2024,3,1,-7.69,Caída,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-03-Q2,36.0,36.0,39.0,-7.69,37.5,38.0,1.7321,-0.0769,2024,3,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-04-Q1,36.0,36.0,36.0,0.0,36.0,37.0,1.7321,-0.0769,2024,4,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-04-Q2,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,4,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-05-Q1,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,5,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-05-Q2,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,5,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-06-Q1,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,6,1,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-06-Q2,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,6,2,0.0,Estable,no_perecedero,0,0,0
Aceite Vegetal - Favorita (Caja aprox. 15 I),AZUAY,2024-07-Q1,36.0,36.0,36.0,0.0,36.0,36.0,0.0,0.0,2024,7,1,0.0,Estable,no_perecedero,0,0,0
